site_id;lon;lat;eid;sid;gmv_PGA;gmv_PGV;log_PGA;log_PGV;I_PGA;I_PGV
114.0;-3.13598;38.52256;0;114;0.004206666;2.188051;-2.376061968637936;0.34005744049523495;-1.6433740623466808;4.926293423562773
115.0;-3.0785;38.52256;0;115;0.01610124;1.664422;-1.793140676488623;0.22126344757720445;-0.6833026941767621;4.775587618200178
116.0;-3.02103;38.52256;0;116;0.01037556;0.7414287;-1.9839884538113877;-0.12993060685462365;-0.9976289834273553;4.217540265708004
117.0;-2.96355;38.52256;0;117;0.009063285;1.128378;-2.042714363162607;0.05245461012091896;-1.0943505561288136;4.50735037548214
118.0;-2.90608;38.52256;0;118;0.005267818;1.397374;-2.278369238068855;0.14531265836760368;-1.482474135099404;4.654901814146123
119.0;-2.8486;38.52256;0;119;0.006878814;1.249348;-2.1624864335167797;0.09668342590724117;-1.2916151560021363;4.577629963766607
120.0;-2.79113;38.52256;0;120;0.0028661;1.101411;-2.5427086608714933;0.04194940954806493;-1.9178411644553495;4.4906576117718755
121.0;-2.73365;38.52256;0;121;0.01293993;9.458538;-1.8880680730255843;0.9758240129767367;-0.8396481162731373;6.624425938660863
122.0;-2.67618;38.52256;0;122;0.01367707;1.676119;-1.8640069303295315;0.22430484914431414;-0.8000194142527381;4.780420405290315
123.0;-2.6187;38.52256;0;123;0.01268541;1.935098;-1.896695491559315;0.28670296407404877;-0.853857474598192;4.879571009913664
124.0;-2.56123;38.52256;0;124;0.01251731;1.829615;-1.902488992026342;0.2623597121531982;-0.863399369867385;4.840889582611433
125.0;-2.50375;38.52256;0;125;0.00872992;1.819638;-2.058989736101732;0.25998499774353573;-1.1211560953595527;4.837116161414478
126.0;-2.44628;38.52256;0;126;0.008394492;2.521971;-2.0760055804398365;0.4017400883384162;-1.149181190984411;5.0910477759519095
127.0;-2.3888;38.52256;0;127;0.005000391;0.9095295;-2.3009960351633345;-0.041183210311938515;-1.5197404699140118;4.35855987881433
128.0;-2.33133;38.52256;0;128;0.004325329;1.192489;-2.363980852950539;0.07645438162298214;-1.6234764648095377;4.545486012398919
129.0;-2.27386;38.52256;0;129;0.004223476;1.155355;-2.374329969362757;0.06271544816966905;-1.640521459540461;4.5236548471416045
130.0;-2.21638;38.52256;0;130;0.01496652;1.500288;-1.8248791696296653;0.17617463559231528;-0.7355759923800589;4.703941495956189
131.0;-2.15891;38.52256;0;131;0.004213789;2.945852;-2.375327214914422;0.46921092404160814;-1.6421639229640528;5.271262378115135
132.0;-2.10143;38.52256;0;132;0.004031375;1.265951;-2.3945468017338727;0.10241689616992325;-1.6738185824556884;4.586740448014009
133.0;-2.04396;38.52256;0;133;0.006540643;0.8537307;-2.18437955479117;-0.06867910114729915;-1.3276731267410575;4.314868908276942
134.0;-1.98648;38.52256;0;134;0.005040314;1.637525;-2.297542407161715;0.21418793906331243;-1.5140523445953447;4.764344635171604
135.0;-1.92901;38.52256;0;135;0.008167102;0.9673926;-2.08793202041731;-0.014397239039209028;-1.1688240376273096;4.401122787166697
136.0;-1.87153;38.52256;0;136;0.008681151;0.9796678;-2.0614226895920447;-0.008921166231131417;-1.1251631697580975;4.409824266858733
137.0;-1.81406;38.52256;0;137;0.007566738;1.05612;-2.121091303315921;0.02371326703960589;-1.2234373765613222;4.461680381325934
138.0;-1.75658;38.52256;0;138;0.005680062;1.732054;-2.2456469237764947;0.23856142782938827;-1.4285804834598865;4.803074108820899
139.0;-1.69911;38.52256;0;139;0.01097356;1.338883;-1.9596524574261602;0.12674262729246186;-0.957547597380886;4.625394034767722
140.0;-1.64163;38.52256;0;140;0.006464332;1.548365;-2.1894763468397005;0.1898733457529218;-1.3360675432449867;4.725708746401393
141.0;-1.58416;38.52256;0;141;0.01113777;0.8992864;-1.9532017547316067;-0.04610197441664731;-0.9469232900429563;4.350743962651948
142.0;-5.32005;38.4776;0;142;0.004421302;2.311457;-2.3544498193049264;0.3638858186754966;-1.6077788523952137;4.989939021682251
143.0;-5.26261;38.4776;0;143;0.00481761;0.6511767;-2.3171683603574884;-0.18630114749610202;-1.5463762895087836;4.127967476628695
144.0;-5.20517;38.4776;0;144;0.004273471;3.160437;-2.369219238840143;0.4997471375446357;-1.6321040863697154;5.352824604381722
145.0;-5.14773;38.4776;0;145;0.00192099;0.8068474;-2.7164748959171314;-0.09320859613879778;-2.2040341535755155;4.275891540735451
146.0;-5.09029;38.4776;0;146;0.005946096;0.826993;-2.225768083369611;-0.08249816647434503;-1.3958400333097498;4.292910413472266
147.0;-5.03286;38.4776;0;147;0.002804213;0.7989168;-2.552189001685636;-0.09749844619578109;-1.9334552857762426;4.269074968994905
148.0;-4.97542;38.4776;0;148;0.001921811;2.85546;-2.716289325144631;0.45567608083735156;-2.203728518513207;5.235110811916566
149.0;-4.91798;38.4776;0;149;0.005751285;0.9819686;-2.240235110778116;-0.007902399244373477;-1.4196672274515576;4.4114430876006905
150.0;-4.86054;38.4776;0;150;0.00661828;1.24998;-2.1792548630627517;0.0969030642407557;-1.3192327594643523;4.577978969078561
151.0;-4.8031;38.4776;0;151;0.004639892;0.5599559;-2.333492128141222;-0.2518461750309724;-1.573261535048593;4.0238164278757855
152.0;-4.74566;38.4776;0;152;0.003700387;1.835617;-2.431752853453167;0.26378207112547886;-1.735096949637366;4.843149711018386
153.0;-4.68822;38.4776;0;153;0.001521588;0.89895;-2.8177029254555133;-0.04626446324783383;-2.37075671822523;4.350485767899192
154.0;-4.63078;38.4776;0;154;0.003911763;1.304511;-2.4076274654667893;0.11544774554368255;-1.6953624356238022;4.607446467668912
155.0;-4.57335;38.4776;0;155;0.00418098;1.737707;-2.378721909921581;0.2399765505876462;-1.6477549856408436;4.8053227388837705
156.0;-4.51591;38.4776;0;156;0.009262444;1.304874;-2.0332744047145863;0.11556857776886044;-1.0788029445649236;4.607638470074719
157.0;-4.45847;38.4776;0;157;0.003147535;1.098767;-2.502029431919908;0.04090560748940743;-1.8508424743720888;4.4889990103006685
158.0;-4.40103;38.4776;0;158;0.008810295;1.317535;-2.0550095496211833;0.11976216096615426;-1.114600728226089;4.614302073775219
159.0;-4.34359;38.4776;0;159;0.002145423;1.612965;-2.6684870678361325;0.20762494366188003;-2.1249982007261106;4.753916035478728
160.0;-4.28615;38.4776;0;160;0.002810435;0.6196973;-2.5512264546577414;-0.20782039605244418;-1.9318699708213;4.093773390672666
161.0;-4.22871;38.4776;0;161;0.01432233;0.6355062;-1.8439863239395884;-0.1968802081113056;-0.7670454755285019;4.111157349311136
162.0;-4.17127;38.4776;0;162;0.004997718;1.033087;-2.301228252911268;0.014136896571830824;-1.5201229325448584;4.4464635286526395
163.0;-4.11383;38.4776;0;163;0.006322576;0.3781992;-2.199105941551411;-0.4222793941476501;-1.3519274857351737;3.7529980426993843
164.0;-4.0564;38.4776;0;164;0.004976404;0.5966204;-2.303084369505239;-0.22430190106453166;-1.5231799565751287;4.06758427920846
165.0;-3.99896;38.4776;0;165;0.009174827;1.096153;-2.0374021160299565;0.039871176792699595;-1.0856012851013381;4.4873552999236
166.0;-3.94152;38.4776;0;166;0.01372594;1.600394;-1.8624579038662907;0.20422691450664965;-0.7974681676677808;4.748516567151067
167.0;-3.88408;38.4776;0;167;0.003516814;1.246633;-2.4538506003807377;0.09573861904901008;-1.7714919388270753;4.576128665668877
168.0;-3.82664;38.4776;0;168;0.003626815;0.8387111;-2.4404745967571064;-0.07638760923382357;-1.749461660858954;4.302620088927455
169.0;-3.7692;38.4776;0;169;0.01435465;1.059529;-1.843007392155406;0.025112848132809805;-0.7654331748799539;4.463904315683036
170.0;-3.71176;38.4776;0;170;0.003910935;1.608167;-2.407719401991083;0.20633114603715716;-1.6955138550793136;4.751860191053043
171.0;-3.65432;38.4776;0;171;0.006293712;0.5576321;-2.201093134265585;-0.2536522341001296;-1.3552003921354188;4.020946600014894
172.0;-3.59688;38.4776;0;172;0.005046439;1.27184;-2.29701497201413;0.10443247963965141;-1.513183658907272;4.589943210147407
173.0;-3.53945;38.4776;0;173;0.008601875;1.171511;-2.065406872779913;0.06874637079629588;-1.1317251194685167;4.533237983195314
174.0;-3.48201;38.4776;0;174;0.004461906;1.211772;-2.3504795833375502;0.08342091318280553;-1.601239873756945;4.556555831047478
175.0;-3.42457;38.4776;0;175;0.004197686;2.677646;-2.376990051119884;0.42775316027538807;-1.6449026141944492;5.1605286910955614
176.0;-3.36713;38.4776;0;176;0.004953747;1.90066;-2.305066177667361;0.2789044349453131;-1.5264439946181434;4.867179147128103
177.0;-3.30969;38.4776;0;177;0.01110126;2.598544;-1.9546277257186018;0.4147300749381437;-0.9492718642585372;5.125744030159781
178.0;-3.25225;38.4776;0;178;0.006624564;0.5592999;-2.178842699825139;-0.2523552583214069;-1.318553926612004;4.023007494527285
179.0;-3.19481;38.4776;0;179;0.004950147;2.133893;-2.3053819040278634;0.3291726387648303;-1.5269639959338908;4.8972201181408614
180.0;-3.13737;38.4776;0;180;0.004104608;0.6702545;-2.3867283127384447;-0.17376026153962515;-1.6609415310802182;4.147894944413536
181.0;-3.07994;38.4776;0;181;0.01266243;1.314465;-1.8974829424765012;0.11874902672291968;-0.8551544062587975;4.61269220346272
182.0;-3.0225;38.4776;0;182;0.005251657;1.462522;-2.2797036466099336;0.16510240768190346;-1.4846719059665605;4.686347725806545
183.0;-2.96506;38.4776;0;183;0.01191022;0.9517406;-1.9240802163590711;-0.021481403862993492;-0.8989601163433902;4.389866049261704
184.0;-2.90762;38.4776;0;184;0.005676568;5.43519;-2.2459141553350905;0.7352147304847373;-1.4290206138368942;5.981758545124733
185.0;-2.85018;38.4776;0;185;0.005454769;1.163046;-2.2632236363037825;0.06559689198648214;-1.45752932899233;4.52823346136652
186.0;-2.79274;38.4776;0;186;0.01185448;1.552801;-1.9261174917139359;0.19111580206496773;-0.9023155088528525;4.727683009481234
187.0;-2.7353;38.4776;0;187;0.02519948;3.169022;-1.5986084209430846;0.5009252541620384;-0.36290806929326047;5.355971353866805
188.0;-2.67786;38.4776;0;188;0.01034375;2.065644;-1.9853219845441872;0.315055475868164;-0.9998253085442763;4.8595131760438655
189.0;-2.62042;38.4776;0;189;0.006881561;1.168561;-2.1623130360682894;0.06765138790662067;-1.2913295704044727;4.53149805538362
190.0;-2.56299;38.4776;0;190;0.005207567;1.982186;-2.2833651337579215;0.2971444044295518;-1.4907023752992967;4.896162458638559
